12/14/12			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		925		366		205		296		2057		0		0
	2		925		364		205		249		2088		0		0
	3		925		365		205		249		2104		0		0
	4		925		371		205		250		2020		0		0
	5		926		369		204		257		2016		0		0
	6		925		368		202		302		2188		0		0
	7		924		350		200		309		2113		0		0
	8		924		339		200		328		1820		49		0
	9		921		333		200		330		1605		173		0
	10		919		333		197		327		1033		392		36
	11		918		338		199		328		748		407		48
	12		917		336		202		328		834		428		46
	13		918		335		208		327		906		352		27
	14		918		337		211		329		941		258		13
	15		918		337		212		329		795		219		1
	16		918		342		169		328		691		127		0
	17		921		342		162		334		677		22		0
	18		921		349		160		387		544		16		0
	19		921		347		163		387		552		16		0
	20		921		356		162		386		659		16		0
	21		921		341		163		385		819		16		0
	22		921		340		164		342		952		16		0
	23		923		339		169		308		1039		16		0
	24		920		347		169		307		1079		16		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3845		1801		10766		5282		1144				
	2		3827		1802		10209		4940		1136				
	3		3844		1801		10301		4840		1144				
	4		3768		1797		10064		4855		1147				
	5		3767		1797		10114		5268		1157				
	6		3981		1801		10740		5981		1108				
	7		3890		1800		12819		6561		1380				
	8		3660		1801		14496		6408		1398				
	9		3562		1803		14951		6194		1380				
	10		3238		1806		15371		6368		1293				
	11		2982		1809		15443		6425		1299				
	12		3089		1808		14948		6659		1277				
	13		3069		1808		14731		6627		1232				
	14		3003		1807		14520		6800		1280				
	15		2806		1805		14636		6701		1311				
	16		2571		1803		15095		6672		1357				
	17		2455		1800		16121		6707		1631				
	18		2372		1805		17990		6681		2313				
	19		2382		1821		17306		7277		2378				
	20		2495		1885		16840		7188		2133				
	21		2640		2035		15632		7403		1987				
	22		2731		2155		14205		7679		1688				
	23		2789		2209		13566		6869		1528				
	24		2833		2215		12069		6302		1487				
